Goal,X,Y,C,Distance,Angle
0,21,20,30.0,29.435565223042687,0.18699834742802035
0,7,66,16.0,12.735089320456296,0.34697519319792164
0,19,60,10.0,20.98219483276237,0.3296328129599388
0,9,28,22.0,17.14037630858786,0.2418706622612818
0,18,49,1.0,18.911173945580426,0.38214120816966374
0,30,41,9.0,32.03860952038961,0.223791247623091
0,15,54,4.0,15.96316071459534,0.4455153283895856
0,22,66,16.0,25.3331798240963,0.26286752707765737
0,21,25,25.0,27.39096566388268,0.21563719358950292
0,13,67,17.0,17.562032911938186,0.32654703564538545
0,10,36,14.0,13.894603268895446,0.40423785554982494
1,10,32,18.0,15.720687007888682,0.3176837118199129
1,7,53,3.0,7.604275113381945,0.8805236779631288
0,46,31,19.0,49.853911581740505,0.14205987899007932
0,10,66,16.0,14.778700890132395,0.35868342997638314
0,13,65,15.0,16.77453427073312,0.3568783542073093
1,4,57,7.0,6.192132104533947,0.8891188201608188
0,19,32,18.0,23.127743080551546,0.2730351404249318
0,15,65,15.0,18.523633552842703,0.3363632929170542
0,25,23,27.0,31.576336076245454,0.1929108206275765
0,9,69,19.0,15.550723455839602,0.29404598468395515
0,13,49,1.0,13.665467427058616,0.5228832076788991
0,14,40,10.0,16.072958657322552,0.413920005768173
0,14,46,4.0,14.928161306738348,0.47457492357511266
0,20,25,25.0,26.553013011709236,0.21869132647796993
0,11,75,25.0,19.936524270795047,0.21667629414887685
0,3,38,12.0,8.412044935685971,0.38217689414903444
0,12,79,29.0,22.673387484008646,0.18216870189748754
0,26,76,26.0,32.10763149159402,0.1939298730862372
0,13,31,19.0,18.407742936058185,0.2978805122246868
0,10,22,28.0,21.011663427725086,0.17764718360137735
0,16,58,8.0,17.586358349584486,0.3939004690139643
0,1,56,6.0,4.038873605350878,1.2080791347227346
0,26,49,1.0,27.307736998880006,0.26639593140038675
0,28,58,8.0,29.856322613476696,0.24037140820384414
0,10,47,3.0,10.679536506796538,0.6521383456057817
0,11,30,20.0,17.38972397710786,0.28459853384550277
0,11,50,0.0,11.55,0.6137460607827115
0,23,68,18.0,26.834911961845524,0.2451102032785123
0,7,45,5.0,8.036479328661276,0.8102769720462943
0,31,28,22.0,35.552672192115175,0.18826553887550457
0,22,29,21.0,26.83155791227934,0.23490672102192373
0,21,52,2.0,22.08828875218721,0.3278840633485634
0,13,37,13.0,16.05381574579701,0.3881962225284794
0,3,45,5.0,4.526035793053342,1.272510127702622
0,17,63,13.0,19.749050610092628,0.3339324098792254
0,5,62,12.0,9.40226036652889,0.4734809931229669
0,20,39,11.0,22.18383420421276,0.3107019491679012
0,20,53,3.0,21.090341391262495,0.34229622548457433
0,5,39,11.0,8.870456583513613,0.5320024734138117
0,6,70,20.0,14.446106741956465,0.23188804892968712
0,14,68,18.0,18.78776197422141,0.30686081917077107
0,17,28,22.0,22.87165276056805,0.250938916849828
0,24,33,17.0,27.516222487834334,0.2431141328477867
0,10,33,17.0,15.243113199081087,0.33759032764216496
0,14,40,10.0,16.072958657322552,0.413920005768173
0,13,46,4.0,13.895412912180769,0.5074894297819179
1,5,59,9.0,7.860343503944341,0.6711834202118175
0,5,65,15.0,11.073617295175051,0.33830271298288245
1,28,64,14.0,30.77612711177285,0.22651575948751365
0,23,28,22.0,28.06621634634779,0.22445498328352656
0,3,68,18.0,12.116620816052635,0.17113615211706518
0,7,32,18.0,13.817108959547216,0.29428099981910055
0,27,37,13.0,29.582511725680092,0.2363205341625181
0,24,52,2.0,25.233509466580347,0.28771963983932014
0,12,30,20.0,18.10414317221337,0.28538343785592213
0,14,41,9.0,15.821267332296738,0.42632836199012014
0,23,66,16.0,26.29415334252084,0.2550606567820898
0,14,73,23.0,20.966461313249788,0.24730657745765003
0,23,57,7.0,24.57488555415874,0.2908650574235321
0,23,56,6.0,24.462880043036634,0.29344235678198977
0,25,44,6.0,26.538132941109478,0.271268985883801
0,26,58,8.0,27.790825824361537,0.2574671749562088
0,25,39,11.0,27.206341172601654,0.2584681483042706
0,19,29,21.0,24.17281530976481,0.25041398003209947
1,8,62,12.0,11.46298390472568,0.48035749383851156
0,23,60,10.0,25.009448214624808,0.2811655264820829
0,10,33,17.0,15.243113199081087,0.33759032764216496
0,13,51,1.0,13.665467427058616,0.5228832076788991
0,11,60,10.0,13.253395791267987,0.4803553470515795
0,26,47,3.0,27.36955425285549,0.26522874968664184
0,31,56,6.0,32.78280799443513,0.22083880351321364
0,26,19,31.0,33.930996153959285,0.17384294624143218
0,12,23,27.0,21.604686991484048,0.20069901553955638
0,18,53,3.0,19.000328944520934,0.3787722941698328
0,18,29,21.0,23.313783476733242,0.2552731975395584
0,26,31,19.0,29.963519486201882,0.2222206349379769
0,10,68,18.0,15.720687007888682,0.3176837118199129
1,16,40,10.0,18.013605968822567,0.3764491646534234
0,13,44,6.0,14.196214284097012,0.4882107094937715
0,7,55,5.0,8.036479328661276,0.8102769720462943
0,28,36,14.0,30.77612711177285,0.22651575948751365
0,12,58,8.0,13.63084736911099,0.4912343711700846
0,27,50,0.0,28.35,0.25678076017614215
0,14,56,6.0,15.20855022676389,0.45868567606362104
0,12,70,20.0,18.10414317221337,0.28538343785592213
1,9,50,0.0,9.45,0.7390235358439742
0,22,46,4.0,23.245859846432868,0.31049489894234183
0,20,52,2.0,21.040199618824914,0.34385123486521907
0,9,53,3.0,9.649093221645233,0.7147531635553958
0,29,56,6.0,30.698737759067555,0.23547367773587702
0,14,39,11.0,16.346635739503096,0.4009753589018125
0,24,56,6.0,25.5,0.28193327288425424
0,18,56,6.0,19.298186443290465,0.36780864688627385
0,7,54,4.0,7.796313231265146,0.848710701766978
0,22,42,8.0,23.678048906107108,0.29967705742481254
0,14,47,3.0,14.82877270713932,0.4803789265972236
0,29,49,1.0,30.45693681248986,0.23913994080948214
0,27,67,17.0,30.42737254512785,0.22363466996702205
0,27,19,31.0,34.78138870143054,0.17175366131203754
0,27,73,23.0,32.05035101211842,0.20190227402910502
0,6,32,18.0,13.28834075421006,0.2754185537241036
0,21,38,12.0,23.388939693795443,0.29371069986468024
0,7,68,18.0,13.817108959547216,0.29428099981910055
0,22,80,30.0,30.23011743278547,0.18562142503361556
0,12,33,17.0,16.758952831248138,0.33206626567067177
0,26,49,1.0,27.307736998880006,0.26639593140038675
0,7,55,5.0,8.036479328661276,0.8102769720462943
0,15,26,24.0,22.16805133519859,0.23665937199451775
0,24,44,6.0,25.5,0.28193327288425424
0,28,57,7.0,29.749999999999996,0.24205180381778696
0,11,29,21.0,17.880855684222723,0.2692928913160728
0,14,42,8.0,15.592626462530292,0.4380367459389602
0,10,59,9.0,12.019671376539376,0.5303396409372801
0,12,43,7.0,13.396361446303246,0.5069724665686698
1,11,44,6.0,12.190672663967318,0.5587877543959542
0,30,54,4.0,31.607119451161633,0.2298123614854746
0,9,31,19.0,15.550723455839602,0.29404598468395515
0,11,69,19.0,16.909316958410827,0.3008128276935503
0,13,67,17.0,17.562032911938186,0.32654703564538545
0,20,27,23.0,25.777946000408953,0.23184491459743725
0,19,65,15.0,22.20506698931575,0.29553177312558315
0,11,35,15.0,15.115058716392735,0.37455292140405577
0,25,30,20.0,29.292703869735206,0.22367950828689226
0,17,79,29.0,25.960450689462235,0.19528704633703736
0,11,65,15.0,15.115058716392735,0.37455292140405577
0,9,65,15.0,13.578107379160027,0.3844644915514975
0,27,41,9.0,28.947279664935703,0.24655853716809678
0,24,56,6.0,25.5,0.28193327288425424
0,23,50,0.0,24.15,0.3008164530703536
0,27,27,23.0,32.05035101211842,0.20190227402910502
0,9,38,12.0,12.253264871045593,0.4683200303619614
1,10,58,8.0,11.717081547894082,0.5552607966192705
0,11,59,9.0,12.947007376224052,0.5014474542557615
0,18,51,1.0,18.911173945580426,0.38214120816966374
0,23,65,15.0,26.043905237118338,0.2598638838801138
0,10,58,8.0,11.717081547894082,0.5552607966192705
0,27,56,6.0,28.616996697766872,0.25213698550662195
0,29,93,43.0,41.33285618004156,0.13074994451551472
0,12,69,19.0,17.64319982316133,0.30025973949935153
0,18,53,3.0,19.000328944520934,0.3787722941698328
0,7,67,17.0,13.271209439986997,0.3193088176827172
1,10,49,1.0,10.520099809412457,0.6686847657975241
0,4,32,18.0,12.431009613060397,0.21448423646990336
0,3,39,11.0,7.813129974600448,0.45069259319868493
0,23,69,19.0,27.12461981300383,0.24000919087378397
0,10,61,11.0,12.703247616259395,0.4790511315471671
0,3,61,11.0,7.813129974600448,0.45069259319868493
0,17,46,4.0,18.038361899019545,0.3966126372830685
0,26,70,20.0,30.23722870899382,0.21828520037858615
0,19,76,26.0,26.14598439531394,0.21453745183595782
0,27,60,10.0,29.085606405918377,0.24427515281947337
0,19,28,22.0,24.545722641633514,0.2429962259943182
1,12,34,16.0,16.33768649472746,0.34891490595427527
0,11,27,23.0,18.891929493834134,0.24132760305939444
0,11,56,6.0,12.190672663967318,0.5587877543959542
0,24,52,2.0,25.233509466580347,0.28771963983932014
0,7,61,11.0,10.254023600518968,0.530360708962019
0,7,37,13.0,11.19933033712284,0.44772227561121114
0,18,65,15.0,21.266699320769078,0.30537177937400134
0,14,40,10.0,16.072958657322552,0.413920005768173
0,18,51,1.0,18.911173945580426,0.38214120816966374
0,23,30,20.0,27.426674971640292,0.23485320035665017
0,21,68,18.0,24.961820847045594,0.25879487048867217
0,13,79,29.0,23.273267926958606,0.18694075110760816
0,4,28,22.0,14.904026301640775,0.14623623640329433
0,12,30,20.0,18.10414317221337,0.28538343785592213
0,27,69,19.0,30.92321134681843,0.21664654330856858
0,23,30,20.0,27.426674971640292,0.23485320035665017
0,14,49,1.0,14.71436373072244,0.48717423374771535
0,4,27,23.0,15.528763633979365,0.13418083006105208
0,34,31,19.0,37.775818985165635,0.1827982972936666
0,11,44,6.0,12.190672663967318,0.5587877543959542
0,12,57,7.0,13.396361446303246,0.5069724665686698
1,3,48,2.0,3.4077118422777475,1.647973806608485
0,22,39,11.0,24.181242730678672,0.2877448652568952
0,30,41,9.0,32.03860952038961,0.223791247623091
0,22,73,23.0,27.51567734946752,0.22356025782715727
0,23,33,17.0,26.557955493599277,0.25013488256510324
0,19,65,15.0,22.20506698931575,0.29553177312558315
1,11,45,5.0,11.998541578041891,0.5746282275003937
1,7,62,12.0,10.71739240673775,0.4875473980128381
1,13,43,7.0,14.388363353766126,0.4763868532411363
0,27,50,0.0,28.35,0.25678076017614215
0,24,49,1.0,25.208381542653626,0.2882739729481942
0,6,69,19.0,13.864072273325755,0.2523954192191739
0,24,55,5.0,25.40870913682944,0.2838966163814666
0,20,36,14.0,22.88689581398054,0.29252713991186646
0,5,64,14.0,10.505831713862543,0.37729531977152453
0,16,67,17.0,20.108269443191773,0.304759894270646
0,12,34,16.0,16.33768649472746,0.34891490595427527
0,27,63,13.0,29.582511725680092,0.2363205341625181
0,29,36,14.0,31.78069382502528,0.22002972434351686
0,20,56,6.0,21.359073013593076,0.33412750668460783
0,12,26,24.0,20.052929960482086,0.2329605153822246
0,11,70,20.0,17.38972397710786,0.28459853384550277
0,14,62,12.0,16.641213898030394,0.3876504547249745
0,22,55,5.0,23.327505224519832,0.30840934692148025
0,11,39,11.0,13.583997938751317,0.458874034466134
0,10,68,18.0,15.720687007888682,0.3176837118199129
0,24,53,3.0,25.275333825688634,0.2868003435188237
0,18,44,6.0,19.298186443290465,0.36780864688627385
0,17,50,0.0,17.85,0.40447783762626216
1,9,30,20.0,16.071792059381554,0.2752793134772887
0,29,47,3.0,30.512374538865373,0.23829209884521543
1,15,53,3.0,15.87025519643588,0.45032685635196196
0,9,41,9.0,11.114180131705622,0.5608366482848695
1,5,46,4.0,5.858540773947041,1.07215014489556
0,12,71,21.0,18.57639631360184,0.2712176259591417
1,8,55,5.0,9.006802984411284,0.7371524997587747
0,11,63,13.0,14.311009747743169,0.415932290325356
0,17,56,6.0,18.271083711701394,0.38717981884058367
0,2,68,18.0,11.886967653695368,0.11960982908894272
0,21,38,12.0,23.388939693795443,0.29371069986468024
0,11,55,5.0,11.998541578041891,0.5746282275003937
0,17,40,10.0,18.996644440532123,0.35967403685627447
0,11,46,4.0,11.839024453053554,0.588192267514254
0,23,30,20.0,27.426674971640292,0.23485320035665017
0,32,31,19.0,35.79780021174486,0.19157651667652048
0,22,51,1.0,23.10914321215739,0.31403211774890216
0,10,62,12.0,13.080137613954985,0.45351561115002464
0,20,52,2.0,21.040199618824914,0.34385123486521907
1,10,19,31.0,22.721630663312876,0.15166686235375906
0,12,56,6.0,13.189768762188365,0.5213741842885677
0,11,57,7.0,12.413903495677738,0.541048218774014
0,6,84,34.0,22.980426453832404,0.08935845547680439
0,23,22,28.0,30.240081018409985,0.19372695450548785
1,12,51,1.0,12.616754733290174,0.5640811317617371
0,8,60,10.0,10.621205204683694,0.5539129060969811
0,13,50,0.0,13.65,0.5239396375264456
0,22,50,0.0,23.1,0.31427070504979715
0,5,66,16.0,11.65,0.3043948372634069
0,15,53,3.0,15.87025519643588,0.45032685635196196
0,6,71,21.0,15.03371211644017,0.21358878179238977
0,11,39,11.0,13.583997938751317,0.458874034466134
0,13,46,4.0,13.895412912180769,0.5074894297819179
0,25,31,19.0,29.01008445351375,0.22797859744767013
0,20,65,15.0,23.153023560649697,0.2860416529651169
0,14,55,5.0,15.05498256392215,0.46730053223534024
0,19,38,12.0,21.420609235033442,0.31679577481592847
0,11,54,4.0,11.839024453053554,0.588192267514254
0,24,68,18.0,27.783628272779637,0.2385540980304433
0,23,56,6.0,24.462880043036634,0.29344235678198977
1,12,55,5.0,13.012397934277908,0.5341519416725077
0,13,31,19.0,18.407742936058185,0.2978805122246868
0,13,22,28.0,22.75,0.1956491548204385
0,12,41,9.0,13.891814136389819,0.4744514361613353
0,17,66,16.0,20.658714868064763,0.3061401026557032
0,18,66,16.0,21.572436116489023,0.2970409276906882
0,16,34,16.0,19.75854245636555,0.3153100776120756
0,19,61,11.0,21.19256945252274,0.32338320072692645
1,10,60,10.0,12.349089035228468,0.504787111082435
0,24,37,13.0,26.578986060419986,0.26013285640998235
0,34,71,21.0,38.22057691872272,0.17862086166185406
0,20,46,4.0,21.160340261914506,0.34014177905248677
0,9,43,7.0,10.488326844640188,0.621395125816287
0,4,67,17.0,11.821273197079915,0.2386912971488724
0,12,67,17.0,16.758952831248138,0.33206626567067177
0,13,71,21.0,19.30401512639275,0.2712737199954445
0,18,66,16.0,21.572436116489023,0.2970409276906882
0,21,53,3.0,22.136056559378414,0.3265320893929211
0,16,52,2.0,16.85022255045909,0.426645316659641
0,17,49,1.0,17.86183081321733,0.40397763645873547
0,14,27,23.0,20.966461313249788,0.24730657745765003
0,19,68,18.0,23.127743080551546,0.2730351404249318
0,13,56,6.0,14.196214284097012,0.4882107094937715
0,22,61,11.0,24.181242730678672,0.2877448652568952
0,13,68,18.0,17.97811169172113,0.3119750682558491
0,19,69,19.0,23.46326916693409,0.2654619792086078
0,27,48,2.0,28.379790344539195,0.2562565405951368
0,22,65,15.0,25.07334241779504,0.26820128002129745
0,20,32,18.0,24.039342753078753,0.26586779578711206
0,7,43,7.0,8.644362324659928,0.7201101384716242
0,26,53,3.0,27.36955425285549,0.26522874968664184
1,9,41,9.0,11.114180131705622,0.5608366482848695
1,18,63,13.0,20.702958725747386,0.3216256265342819
0,26,74,24.0,31.442805218364345,0.20210889983911917
0,22,32,18.0,25.894014752448104,0.25186453602476694
0,21,60,10.0,22.98809474488915,0.3036819004236065
0,9,35,15.0,13.578107379160027,0.3844644915514975
0,24,39,11.0,26.19470366314534,0.26761029998214175
0,8,37,13.0,11.914801718870523,0.44610227378018025
0,14,63,13.0,16.955603793436552,0.37409046709081273
0,10,61,11.0,12.703247616259395,0.4790511315471671
0,26,31,19.0,29.963519486201882,0.2222206349379769
0,11,27,23.0,18.891929493834134,0.24132760305939444
0,7,41,9.0,9.393880987110705,0.6232345110872599
0,9,53,3.0,9.649093221645233,0.7147531635553958
0,12,56,6.0,13.189768762188365,0.5213741842885677
0,27,66,16.0,30.197392271519078,0.22698785233621196
0,11,50,0.0,11.55,0.6137460607827115
0,14,69,19.0,19.199283840810313,0.2941379108771195
0,11,62,12.0,13.93709080116794,0.43731158474742216
0,19,50,0.0,19.95,0.3628820200689473
0,28,45,5.0,29.579088897395064,0.24478886796371135
0,26,40,10.0,28.063143088399777,0.25262306464739315
0,10,68,18.0,15.720687007888682,0.3176837118199129
0,25,75,25.0,30.872722588071174,0.20169352408056146
0,17,67,17.0,20.9934513598884,0.2967365571334337
0,18,55,5.0,19.17739554788397,0.3722014026013878
0,15,52,2.0,15.803559725580817,0.45382332870968084
0,11,41,9.0,12.947007376224052,0.5014474542557615
0,6,75,25.0,17.428496779699618,0.1575096013680273
0,26,29,21.0,30.52232789287213,0.21429322993676256
0,7,65,15.0,12.210036854981233,0.377492841312113
0,12,70,20.0,18.10414317221337,0.28538343785592213
0,12,41,9.0,13.891814136389819,0.4744514361613353
0,20,56,6.0,21.359073013593076,0.33412750668460783
0,26,50,0.0,27.3,0.26654253461972943
1,13,30,20.0,18.85,0.28430431212281077
0,10,61,11.0,12.703247616259395,0.4790511315471671
0,19,29,21.0,24.17281530976481,0.25041398003209947
0,20,31,19.0,24.36231721327017,0.25902377958115674
0,9,66,16.0,14.052135069091813,0.35947975315199954
0,15,57,7.0,16.394053800082517,0.42407042714928733
1,13,42,8.0,14.606933285258751,0.46338573138626593
0,26,77,27.0,32.45446810533181,0.18985458720507872
0,13,63,13.0,16.05381574579701,0.3881962225284794
0,10,33,17.0,15.243113199081087,0.33759032764216496
0,13,54,4.0,13.895412912180769,0.5074894297819179
0,26,64,14.0,28.77672670753225,0.24053754216215303
0,23,69,19.0,27.12461981300383,0.24000919087378397
0,7,30,20.0,14.933937859787685,0.2512332492285382
0,5,69,19.0,13.419575254083117,0.22658931818991998
0,30,38,12.0,32.451348200036314,0.21824435574994805
0,22,52,2.0,23.136551169091735,0.31331845302661493
0,10,45,5.0,10.991473968490304,0.6210728310993445
0,9,67,17.0,14.53977303811858,0.3360930094197185
0,15,64,14.0,18.189901044260797,0.3483365427834284
0,21,60,10.0,22.98809474488915,0.3036819004236065
0,30,57,7.0,31.826914710665875,0.22671623065840432
0,29,49,1.0,30.45693681248986,0.23913994080948214
0,19,40,10.0,20.98219483276237,0.3296328129599388
0,24,45,5.0,25.40870913682944,0.2838966163814666
0,27,39,11.0,29.237732470217317,0.24179916535256413
0,22,31,19.0,26.194131022043848,0.2462482602502879
0,26,73,23.0,31.125431723913486,0.20619273678873876
0,5,67,17.0,12.23376475170256,0.2748761318721257
0,8,64,14.0,12.384264209067894,0.41390377024114655
0,22,29,21.0,26.83155791227934,0.23490672102192373
0,6,73,23.0,16.223208683857827,0.1825584951951526
1,9,61,11.0,11.850105484762572,0.49865017428260083
0,12,25,25.0,20.562648175757907,0.22157235236141123
0,33,44,6.0,34.868789769649304,0.20788910423711487
0,22,63,13.0,24.597001849819016,0.27839123167800706
0,28,71,21.0,32.414232984909574,0.20456975457596893
0,11,30,20.0,17.38972397710786,0.28459853384550277
1,4,54,4.0,4.9396356140913875,1.2270686920947695
0,6,40,10.0,9.052071586106685,0.5922299939879683
0,7,62,12.0,10.71739240673775,0.4875473980128381
0,9,57,7.0,10.488326844640188,0.621395125816287
0,17,49,1.0,17.86183081321733,0.40397763645873547
0,21,77,27.0,28.181642961332116,0.20384508378694133
0,8,30,20.0,15.477725931156682,0.2654567711126684
0,23,51,1.0,24.158745828374453,0.30060676755357607
1,9,49,1.0,9.472328119316812,0.7362608907549514
0,18,27,23.0,24.097977093523845,0.23919503855840518
0,3,60,10.0,7.223053370978232,0.536463366670397
0,23,35,15.0,26.043905237118338,0.2598638838801138
