Frame,MinDistance,CentroidDistance1,CentroidDistance2,CentroidDistance3,ClusterSize1,ClusterSize2,ClusterSize3,Diameter1,Diameter2,Diameter3,FreePlayers,DistanceGoal,GoalAngle,MinProjectedVelocity,SuccessFlag
912,7.705806290305399,10.444037997163951,24.68479115062601,27.159854601231515,5,3,2,33.25785565636779,26.0750198839076,20.79970835035409,8,48.81152933424671,0.1496836282140539,2.3762827950376737,1
939,11.845662143179018,15.332944677042144,31.041474456539977,33.079793523395566,4,3,3,25.42335361409022,22.1337167632046,22.728152401389742,8,62.193107624607805,0.1166650099770868,4.266758547926001,1
976,2.1084847276694454,6.968123987115182,29.230924519003192,44.2721124516934,2,6,2,17.689054768082592,25.30839443413005,19.32185291394844,5,71.10276452376273,0.0965060208398608,4.039890396418951,1
1034,2.386976245576286,5.902807203247902,16.03495683009845,22.809425308536238,4,3,3,23.744741957816743,16.37933024443751,15.477753274039769,6,51.75814321529384,0.1382512930489142,3.845597248400492,1
1101,2.6383689967516077,9.377849375621173,21.380085196813525,34.311514494677525,4,3,3,19.731815674804096,16.45366576529711,18.948508316720662,3,62.31162941731945,0.111638043887093,2.475264020908821,1
1142,8.617991876832118,15.064147338725832,26.51580497872043,35.202260670730155,3,4,3,20.95218921395189,18.732112395276257,11.189005357467469,4,73.67865360375009,0.0983940131902711,3.0805010719137487,1
1163,4.1614542022691605,15.059202033440505,15.192953940548486,36.09067063300357,4,2,4,22.851497892524264,8.500886693019257,21.094124640439123,5,69.79421436909168,0.0966436805033866,4.02347108875264,1
1195,5.89551713241852,9.098772364527584,28.779949983964304,37.57079668162013,3,3,4,12.975840822452438,15.090788490161753,19.336362815324843,5,83.33313601433623,0.0861357808733231,-1.0068187690083683,1
1227,10.127888606441983,18.492819183001025,41.31436677910858,42.25741660994842,3,4,3,16.942230056334672,21.500934172732705,13.75498975882016,4,93.29922349919131,0.0784117980604988,-0.3369471851995052,1
1274,9.91240120916073,14.961647533138754,19.54066991296631,37.2692083739251,3,4,3,12.679585546623144,19.33055996759495,17.618146300813375,4,77.42017437111309,0.0897960533700073,1.5465536484603997,1
1281,2.0562909512661385,3.303678560949177,17.329311634270027,22.45869184073352,3,4,3,9.128805494792584,18.39960025363646,18.34318452494234,6,59.74017241265603,0.1140010194555698,2.4323164309056766,1
1321,1.756432850934056,2.117504501824861,17.708813097817444,24.26372769239672,5,2,3,15.735088368886212,11.202349481425816,22.04353037736487,3,43.573745480665146,0.1492570325799218,4.19740823568704,1
1350,3.393556396711192,4.566848988358291,18.82231046785517,26.20382202300648,4,3,3,15.034638404339631,11.575966372882077,25.312515128356463,7,39.9259794668432,0.1490123801997833,2.226207832201092,0
1353,3.3002285325136844,6.529604446813187,20.55799691608096,29.26853463054595,3,4,3,12.862949665542118,18.59005064510197,25.650681950919708,4,42.49701487194526,0.131116174245224,2.116243920321575,0
1502,1.7014426898079746,0.1170876126955404,14.782075665463386,18.658405438233157,4,3,3,11.931797836145174,19.019833997546893,14.402880010868278,9,49.4443148237586,0.1459620489573202,3.7612713950456342,1
1534,0.3476334373397807,8.099126474775847,25.04956506143068,31.108962901276723,3,4,3,15.631812935006932,19.063453304058584,17.5624992031198,4,56.118992660048285,0.1203133778450765,1.7928293725198208,1
1545,2.9957810804306986,4.991961402681619,16.384693185388922,22.262170259807903,3,4,3,12.304686691770886,18.763483984555176,17.828783858475344,3,50.54091565723923,0.1378358309732905,4.777650203291048,0
1606,2.9273389676650634,16.30782463357592,35.27416608591992,48.8625602589124,4,2,4,30.86134457027012,13.121260747154414,19.284069851829784,3,95.98305485401016,0.0740262431778545,-4.3848094102301385,1
1643,2.906390319498404,6.656979545086663,37.59137520887597,41.79511673620375,3,4,3,17.142128111182657,24.25727218736544,32.65040209280087,4,99.60381021607094,0.0733489330533655,0.948675858961282,1
1748,4.152668973674167,9.873533360881746,19.38995264772912,19.647443651323943,5,3,2,16.449942291892935,20.330723450494258,17.19832446677368,6,57.345977046612965,0.1273705522164609,-0.0311654035565736,0
1760,2.022918974673421,3.4013956581286653,18.6429851678086,29.72043039994533,6,2,2,17.546516704057037,17.068288618884523,17.712987180769332,7,44.34609736963534,0.164581074615925,-0.4452225113339298,0
1766,1.886035751513388,3.941502335341265,21.04576238724219,25.6372657741804,4,3,3,24.17639541035404,32.02698412598252,13.679948640697,7,54.82598334116606,0.1329781904052613,0.9989721044240788,1
1788,3.150428058945784,5.964741584937347,15.433071521698976,22.34466691138485,5,3,2,32.982678222986856,26.85363928921001,9.036239147878858,8,47.90943289710355,0.1522948699155982,2.060610870388615,1
1868,2.883531449753458,3.3392097229126847,11.971127360237508,26.63685672462488,4,5,1,10.5303854975011,18.106322407405155,0.0,7,25.228509004628226,0.2789181188148144,-0.95765910853039,1
1894,2.61325251029385,11.478413423183069,18.302055940600045,27.875254740117192,3,3,4,15.555742123880616,19.97844870879353,20.84685308499225,4,32.528252812669066,0.1516177301059902,0.6635293519940033,1
1917,1.257433130322062,3.694395882895672,13.99124921350715,22.89846954553896,2,6,2,6.905270596366378,23.996994113360525,18.758770768826903,5,32.91299332138642,0.1813824157807617,3.1744883965364914,1
1952,2.602243256578548,3.4676156993271574,22.675358177727944,25.674581113467,5,3,2,13.104673839773856,6.092240519878109,22.82987585291253,5,31.03787868658268,0.1587903139003161,2.279572350136557,0
1975,1.7122817800676051,2.141858133297216,25.020927712807904,28.724451874110223,3,5,2,7.462666985742851,22.6834110461499,10.988003562883351,7,77.70724539502618,0.0901903725880906,-1.498356376770849,0
2005,1.522364640090641,7.914494774811184,10.031189309461078,29.90734114748415,3,3,4,11.919248325256389,12.283566260659065,18.187050270140038,4,37.04257771897277,0.1353889056487015,1.053075068876618,1
2051,7.883519948012765,11.146785939439036,28.80078651095192,34.920094136798035,3,3,4,15.52399347905684,12.141591963331653,18.54208372601904,3,64.77099518799483,0.1090574747531169,-2.46230283336866,1
2104,7.068863213282644,12.204113187539786,16.2403546003429,24.84303064599768,4,4,2,12.059358812068078,20.403984512097875,10.477966685790529,7,54.842536919306944,0.1281269563760752,1.939108085009534,1
