Frame,MinDistance,CentroidDistance1,CentroidDistance2,CentroidDistance3,ClusterSize1,ClusterSize2,ClusterSize3,Diameter1,Diameter2,Diameter3,FreePlayers,DistanceGoal,GoalAngle,MinProjectedVelocity,SuccessFlag
912,7.705806290305399,10.997277064848154,23.466345750191127,24.97220432411621,5,4,1,33.32529306721908,44.512534756225456,0.0,8,48.81152933424671,0.1496836282140539,2.3762827950376737,1
939,11.845662143179018,18.57449482954123,20.58781894464745,32.76817214011266,1,5,4,0.0,31.666106287451125,38.441041162601785,8,62.193107624607805,0.1166650099770868,4.266758547926001,1
976,2.1084847276694454,13.19688589521309,32.503552307232006,45.06340652521936,3,6,1,27.807173512901777,30.411346952732305,0.0,5,71.10276452376273,0.0965060208398608,4.039890396418951,1
1034,2.386976245576286,10.022180108424044,10.97291348777305,23.415226250571365,4,3,3,18.292640814402283,21.312079014388694,21.40302755762112,6,51.75814321529384,0.1382512930489142,3.845597248400492,1
1101,2.6383689967516077,7.158126425907848,19.345721050169896,34.311514494677525,3,4,3,18.10362507048329,22.037660347150545,18.948508316720662,3,62.31162941731945,0.111638043887093,2.475264020908821,1
1142,8.617991876832118,12.201105876675262,27.91767270291728,31.7498963506539,3,2,5,16.290142671448944,11.483791702000945,29.433140487480262,4,73.67865360375009,0.0983940131902711,3.0805010719137487,1
1163,4.1614542022691605,10.702175721359664,33.69640888165155,37.704275715137165,5,4,1,24.704696297166542,20.253608140255785,0.0,5,69.79421436909168,0.0966436805033866,4.02347108875264,1
1195,5.89551713241852,15.315910328921197,31.888465307847923,41.02799399120644,5,2,3,28.00210649381867,12.800470389248678,18.409698912748624,5,83.33313601433623,0.0861357808733231,-1.0068187690083683,1
1227,10.127888606441983,14.57357895095426,37.03445773959911,44.04335642239998,2,5,3,13.793939870735512,22.625620513221183,21.500934172732705,4,93.29922349919131,0.0784117980604988,-0.3369471851995052,1
1274,9.91240120916073,11.633106428287066,23.144068732348465,37.2692083739251,4,3,3,23.225488226131585,14.740896204519036,17.618146300813375,4,77.42017437111309,0.0897960533700073,1.5465536484603997,1
1281,2.0562909512661385,3.303678560949177,17.329311634270027,22.45869184073352,3,4,3,9.128805494792584,18.39960025363646,18.34318452494234,6,59.74017241265603,0.1140010194555698,2.4323164309056766,1
1321,1.756432850934056,6.964534852864921,28.58990390391015,31.345926974342746,8,1,1,26.828740973092188,0.0,0.0,3,43.573745480665146,0.1492570325799218,4.19740823568704,1
1350,3.393556396711192,2.8344283203788305,16.365652725794387,26.20382202300648,3,4,3,13.250146794317756,18.854300757157837,25.312515128356463,7,39.9259794668432,0.1490123801997833,2.226207832201092,0
1353,3.3002285325136844,4.568589390150879,18.63418250661468,29.26853463054595,2,5,3,2.7261713322165746,19.173050172533745,25.650681950919708,4,42.49701487194526,0.131116174245224,2.116243920321575,0
1502,1.7014426898079746,0.1170876126955404,14.782075665463386,18.658405438233157,4,3,3,11.931797836145174,19.019833997546893,14.402880010868278,9,49.4443148237586,0.1459620489573202,3.7612713950456342,1
1534,0.3476334373397807,6.092840668113649,22.968124496298707,31.108962901276723,2,5,3,11.518814040467012,21.51315795252815,17.5624992031198,4,56.118992660048285,0.1203133778450765,1.7928293725198208,1
1545,2.9957810804306986,8.451404067488996,10.5182343158438,22.03087052950724,2,4,4,10.22726569484169,17.54974869217438,24.17008087910148,3,50.54091565723923,0.1378358309732905,4.777650203291048,0
1606,2.9273389676650634,17.48953234596295,29.38025735398728,48.8625602589124,3,3,4,30.86134457027012,24.45506456729605,19.284069851829784,3,95.98305485401016,0.0740262431778545,-4.3848094102301385,1
1643,2.906390319498404,11.24978681690717,34.51787557999011,45.55021128648238,4,2,4,33.21554872498452,10.375574841624958,18.532115356854995,4,99.60381021607094,0.0733489330533655,0.948675858961282,1
1748,4.152668973674167,5.072098688660964,17.00455996362532,17.553181886035826,3,3,4,12.021672484400575,28.16056534465966,26.098407567683225,6,57.345977046612965,0.1273705522164609,-0.0311654035565736,0
1760,2.022918974673421,3.4013956581286653,21.126646257497605,29.448816453727414,6,3,1,17.546516704057037,33.290721478581496,0.0,7,44.34609736963534,0.164581074615925,-0.4452225113339298,0
1766,1.886035751513388,0.6728783726174554,21.04576238724219,29.793528515630545,5,3,2,37.037461619439775,32.02698412598252,9.504979254174634,7,54.82598334116606,0.1329781904052613,0.9989721044240788,1
1788,3.150428058945784,5.964741584937347,15.433071521698976,22.34466691138485,5,3,2,32.982678222986856,26.85363928921001,9.036239147878858,8,47.90943289710355,0.1522948699155982,2.060610870388615,1
1868,2.883531449753458,3.41422622432495,10.55161243088654,26.63685672462488,3,6,1,10.5303854975011,18.24063579839593,0.0,7,25.228509004628226,0.2789181188148144,-0.95765910853039,1
1894,2.61325251029385,17.54311795822036,18.74861890446913,31.35626423646215,7,1,2,25.09603089516895,0.0,16.803018716539544,4,32.528252812669066,0.1516177301059902,0.6635293519940033,1
1917,1.257433130322062,6.066198248383609,7.470373831426203,20.49175349226624,3,2,5,17.813829090141116,8.410682648862366,22.201968253000285,5,32.91299332138642,0.1813824157807617,3.1744883965364914,1
1952,2.602243256578548,5.373831134887604,22.675358177727944,35.16599338350121,6,3,1,20.80290404469793,6.092240519878109,0.0,5,31.03787868658268,0.1587903139003161,2.279572350136557,0
1975,1.7122817800676051,2.141858133297216,25.020927712807904,28.724451874110223,3,5,2,7.462666985742851,22.6834110461499,10.988003562883351,7,77.70724539502618,0.0901903725880906,-1.498356376770849,0
2005,1.522364640090641,7.335077743616526,23.19176507929601,39.65907475519906,5,4,1,18.253629507709256,18.988651512814368,0.0,4,37.04257771897277,0.1353889056487015,1.053075068876618,1
2051,7.883519948012765,11.146785939439036,28.80078651095192,34.920094136798035,3,3,4,15.52399347905684,12.141591963331653,18.54208372601904,3,64.77099518799483,0.1090574747531169,-2.46230283336866,1
2104,7.068863213282644,13.969228433844137,14.214086730745754,24.84303064599768,3,5,2,12.059358812068078,23.911113627789888,10.477966685790529,7,54.842536919306944,0.1281269563760752,1.939108085009534,1
2156,0.7463641662651258,10.026200235834557,13.558243826395424,30.431859711481245,3,2,5,20.96365923183786,10.203660781446834,26.77597316566096,4,31.48491658157104,0.1284324291556649,0.6031203593059082,1
2505,0.8149520013119019,7.057153458298306,24.365572778165465,37.91810816706269,5,3,2,22.80782018177641,34.165412507535486,18.254903484647965,6,45.52102737206422,0.1511532242756151,0.4045910478500674,1
2766,2.896381950087427,7.673077186986402,25.348552328472927,38.16674011872256,5,4,1,16.07795308050322,35.48538762636274,0.0,8,90.47499985716176,0.0803409446483313,-0.0019804101937785,0
2830,0.6517591993167778,3.0566524074939903,14.984044961227486,23.084794083742235,2,3,5,6.181375293152192,12.073829128470315,26.96594174124445,5,44.07473767639494,0.1655499849742487,4.187056277741606,1
2873,2.904696728656132,9.14448213732434,16.842887433235813,32.55683781449108,4,1,5,12.453024532415764,0.0,24.71590943372344,5,54.20182674189574,0.120828867118145,3.724457359888112,1
