Frame,MinDistance,CentroidDistance1,CentroidDistance2,CentroidDistance3,ClusterSize1,ClusterSize2,ClusterSize3,Diameter1,Diameter2,Diameter3,FreePlayers,DistanceGoal,GoalAngle,MinProjectedVelocity,SuccessFlag
912,7.705806290305399,10.444037997163951,24.68479115062601,27.159854601231515,5,3,2,33.25785565636779,26.0750198839076,20.79970835035409,8,48.81152933424671,0.1496836282140539,2.3762827950376737,1
939,11.845662143179018,17.015784395305694,33.079793523395566,34.282959135414615,5,3,2,32.034579214582585,22.728152401389742,20.26054112750034,8,62.193107624607805,0.1166650099770868,4.266758547926001,1
976,2.1084847276694454,13.19688589521309,30.345710301791048,44.2721124516934,3,5,2,27.807173512901777,21.626976847060483,19.32185291394844,5,71.10276452376273,0.0965060208398608,4.039890396418951,1
1034,2.386976245576286,4.388728698453571,16.03495683009845,20.335846458302456,3,3,4,19.217460562397623,16.37933024443751,18.328794263354844,6,51.75814321529384,0.1382512930489142,3.845597248400492,1
1101,2.6383689967516077,9.377849375621173,21.380085196813525,34.311514494677525,4,3,3,19.731815674804096,16.45366576529711,18.948508316720662,3,62.31162941731945,0.111638043887093,2.475264020908821,1
1142,8.617991876832118,15.064147338725832,26.51580497872043,35.202260670730155,3,4,3,20.95218921395189,18.732112395276257,11.189005357467469,4,73.67865360375009,0.0983940131902711,3.0805010719137487,1
1163,4.1614542022691605,10.408556740277756,18.774724303454622,36.09067063300357,3,3,4,18.30866900703736,13.013333528209373,21.094124640439123,5,69.79421436909168,0.0966436805033866,4.02347108875264,1
1195,5.89551713241852,9.098772364527584,28.779949983964304,37.57079668162013,3,3,4,12.975840822452438,15.090788490161753,19.336362815324843,5,83.33313601433623,0.0861357808733231,-1.0068187690083683,1
1227,10.127888606441983,18.492819183001025,41.31436677910858,42.25741660994842,3,4,3,16.942230056334672,21.500934172732705,13.75498975882016,4,93.29922349919131,0.0784117980604988,-0.3369471851995052,1
1274,9.91240120916073,11.633106428287066,23.144068732348465,37.2692083739251,4,3,3,23.225488226131585,14.740896204519036,17.618146300813375,4,77.42017437111309,0.0897960533700073,1.5465536484603997,1
1281,2.0562909512661385,3.303678560949177,17.329311634270027,22.45869184073352,3,4,3,9.128805494792584,18.39960025363646,18.34318452494234,6,59.74017241265603,0.1140010194555698,2.4323164309056766,1
